F/A-18,Fixed,Boeing,2,
F-14B,Fixed,Grumman,2,
F-16C,Fixed,Lockheed,1,
C-101,Fixed,CASA,1,
L-39,Fixed,Aero Vodochody,1,
A-10C,Fixed,Fairchild Republic,2,
AV-8B,Fixed,McDonnell Douglas,1,
F-5E,Fixed,Northrop,2,
Mirage 2000C,Fixed,Dassault Aviation,1,
UH-1H,Rotary,Bell Textron,1,1400
SA-342 Gazelle,Rotary, Aérospatiale,1,590
Mi-8,Rotary,Kazan Helicopter Plant,2,1677
KA-50,Rotary,Kamov,2,2200
